{'en': '49.09090909090909', 'fr': '50.90909090909091'}
{'sk': '57.35294117647059', 'it': '42.64705882352941'}
{'sk': '23.076923076923077', 'it': '76.92307692307692'}
{'sk': '57.35294117647059', 'it': '42.64705882352941'}
{'sk': '48.148148148148145', 'it': '51.851851851851855'}
{'sk': '15.41501976284585', 'de': '84.58498023715416'}
{'sk': '39.795918367346935', 'de': '60.204081632653065'}
{'sk': '35.13513513513514', 'de': '64.86486486486487'}
{'sk': '48.148148148148145', 'de': '51.851851851851855'}
{'sk': '35.77981651376147', 'de': '64.22018348623854'}
{'sk': '50.0', 'de': '50.0'}
{'sk': '43.82022471910113', 'de': '56.17977528089887'}
{'sk': '33.62068965517241', 'de': '66.37931034482759'}
{'sk': '25.82781456953642', 'de': '74.17218543046357'}
{'sk': '57.35294117647059', 'de': '42.64705882352941'}
{'sk': '62.903225806451616', 'es': '37.096774193548384'}
{'sk': '33.91304347826087', 'es': '66.08695652173913'}
{'sk': '45.348837209302324', 'es': '54.651162790697676'}
{'sk': '25.657894736842106', 'es': '74.34210526315789'}
{'sk': '22.413793103448278', 'es': '77.58620689655172'}
{'sk': '31.70731707317073', 'es': '68.29268292682927'}
{'sk': '56.52173913043478', 'es': '43.47826086956522'}
{'sk': '34.21052631578947', 'es': '65.78947368421052'}
{'sk': '28.26086956521739', 'es': '71.73913043478261'}
{'sk': '46.42857142857143', 'es': '53.57142857142857'}
{'sk': '34.82142857142857', 'nl': '65.17857142857143'}
{'sk': '33.33333333333333', 'nl': '66.66666666666667'}
{'sk': '43.333333333333336', 'nl': '56.666666666666664'}
{'sk': '61.904761904761905', 'nl': '38.095238095238095'}
{'sk': '38.23529411764706', 'nl': '61.76470588235294'}
{'sk': '60.0', 'nl': '40.0'}
{'sk': '65.0', 'nl': '35.0'}
{'sk': '28.05755395683453', 'nl': '71.94244604316548'}
{'sk': '54.929577464788736', 'nl': '45.070422535211264'}
{'sk': '62.903225806451616', 'nl': '37.096774193548384'}
{'sk': '36.231884057971016', 'en': '63.768115942028984'}
{'sk': '48.07692307692308', 'en': '51.92307692307692'}
{'sk': '39.682539682539684', 'en': '60.317460317460316'}
{'sk': '44.642857142857146', 'en': '55.357142857142854'}
{'sk': '38.46153846153847', 'en': '61.53846153846153'}
{'sk': '44.642857142857146', 'en': '55.357142857142854'}
{'sk': '53.191489361702125', 'en': '46.808510638297875'}
{'sk': '41.66666666666667', 'en': '58.33333333333333'}
{'sk': '22.93577981651376', 'en': '77.06422018348624'}
{'sk': '27.472527472527474', 'en': '72.52747252747253'}
{'sk': '37.3134328358209', 'fr': '62.6865671641791'}
{'sk': '6.738544474393531', 'fr': '93.26145552560646'}
{'sk': '15.337423312883436', 'fr': '84.66257668711657'}
{'sk': '51.02040816326531', 'fr': '48.97959183673469'}
{'sk': '50.0', 'fr': '50.0'}
{'sk': '31.645569620253166', 'fr': '68.35443037974683'}
{'sk': '26.041666666666668', 'fr': '73.95833333333333'}
{'sk': '26.31578947368421', 'fr': '73.6842105263158'}
{'sk': '24.752475247524753', 'fr': '75.24752475247524'}
{'sk': '43.859649122807014', 'fr': '56.140350877192986'}
{'sk': '32.05128205128205', 'sl': '67.94871794871796'}
{'sk': '37.878787878787875', 'sl': '62.121212121212125'}
{'sk': '52.083333333333336', 'sl': '47.916666666666664'}
{'sk': '21.008403361344538', 'sl': '78.99159663865547'}
{'sk': '16.778523489932887', 'sl': '83.2214765100671'}
{'sk': '34.24657534246575', 'sl': '65.75342465753425'}
{'sk': '12.690355329949238', 'sl': '87.30964467005076'}
{'sk': '27.472527472527474', 'sl': '72.52747252747253'}
{'sk': '33.78378378378378', 'sl': '66.21621621621622'}
{'sk': '30.864197530864196', 'sl': '69.1358024691358'}
{'sk': '39.0625', 'it': '60.9375'}
{'sk': '37.878787878787875', 'it': '62.121212121212125'}
{'sk': '31.645569620253166', 'it': '68.35443037974683'}
{'sk': '31.645569620253166', 'it': '68.35443037974683'}
{'sk': '15.723270440251572', 'it': '84.27672955974843'}
{'sk': '24.509803921568626', 'it': '75.49019607843138'}
{'sk': '28.735632183908045', 'it': '71.26436781609195'}
{'sk': '45.45454545454545', 'it': '54.54545454545455'}
{'sk': '5.020080321285141', 'it': '94.97991967871486'}
{'sk': '23.809523809523807', 'it': '76.19047619047619'}
{'sk': '48.07692307692308', 'de': '51.92307692307692'}
{'sk': '49.01960784313725', 'de': '50.98039215686275'}
{'sk': '34.72222222222222', 'de': '65.27777777777777'}
{'sk': '40.98360655737705', 'de': '59.01639344262295'}
{'sk': '51.02040816326531', 'de': '48.97959183673469'}
{'sk': '55.55555555555556', 'de': '44.44444444444444'}
{'sk': '34.72222222222222', 'de': '65.27777777777777'}
{'sk': '34.24657534246575', 'de': '65.75342465753425'}
{'sk': '37.878787878787875', 'de': '62.121212121212125'}
{'sk': '29.411764705882355', 'de': '70.58823529411765'}
{'sk': '37.3134328358209', 'es': '62.6865671641791'}
{'sk': '35.2112676056338', 'es': '64.7887323943662'}
{'sk': '26.041666666666668', 'es': '73.95833333333333'}
{'sk': '32.89473684210527', 'es': '67.10526315789474'}
{'sk': '51.02040816326531', 'es': '48.97959183673469'}
{'sk': '31.645569620253166', 'es': '68.35443037974683'}
{'sk': '32.89473684210527', 'es': '67.10526315789474'}
{'sk': '31.645569620253166', 'es': '68.35443037974683'}
{'sk': '15.822784810126583', 'es': '84.17721518987342'}
{'sk': '13.157894736842104', 'es': '86.84210526315789'}
{'sk': '59.523809523809526', 'nl': '40.476190476190474'}
{'sk': '27.77777777777778', 'nl': '72.22222222222223'}
{'sk': '22.727272727272727', 'nl': '77.27272727272728'}
{'sk': '34.72222222222222', 'nl': '65.27777777777777'}
{'sk': '32.05128205128205', 'nl': '67.94871794871796'}
{'sk': '25.0', 'nl': '75.0'}
{'sk': '18.38235294117647', 'nl': '81.61764705882354'}
{'sk': '46.2962962962963', 'nl': '53.7037037037037'}
{'sk': '37.3134328358209', 'nl': '62.6865671641791'}
{'sk': '51.02040816326531', 'nl': '48.97959183673469'}
{'sk': '18.51851851851852', 'en': '81.48148148148148'}
{'sk': '23.364485981308412', 'en': '76.6355140186916'}
{'sk': '12.135922330097088', 'en': '87.86407766990291'}
{'sk': '33.33333333333333', 'en': '66.66666666666667'}
{'sk': '43.103448275862064', 'en': '56.896551724137936'}
{'sk': '21.367521367521366', 'en': '78.63247863247864'}
{'sk': '18.38235294117647', 'en': '81.61764705882354'}
{'sk': '29.411764705882355', 'en': '70.58823529411765'}
{'sk': '33.33333333333333', 'en': '66.66666666666667'}
{'sk': '19.841269841269842', 'en': '80.15873015873015'}
{'sk': '41.66666666666667', 'fr': '58.33333333333333'}
{'sk': '13.812154696132598', 'fr': '86.1878453038674'}
{'sk': '27.77777777777778', 'fr': '72.22222222222223'}
{'sk': '17.73049645390071', 'fr': '82.26950354609929'}
{'sk': '37.878787878787875', 'fr': '62.121212121212125'}
{'sk': '8.928571428571429', 'fr': '91.07142857142857'}
{'sk': '20.0', 'fr': '80.0'}
{'sk': '44.642857142857146', 'fr': '55.357142857142854'}
{'sk': '46.2962962962963', 'fr': '53.7037037037037'}
{'sk': '37.3134328358209', 'fr': '62.6865671641791'}
{'sk': '66.66666666666667'}
{'sk': '83.44370860927152'}
{'sk': '71.26436781609195'}
{'sk': '65.75342465753425'}
{'sk': '50.0'}
{'sk': '46.808510638297875'}
{'sk': '70.58823529411765'}
{'sk': '57.6271186440678'}
{'sk': '58.33333333333333'}
{'sk': '65.27777777777777'}
{'sk': '31.25', 'sl': '68.75'}
{'sk': '58.139534883720934', 'sl': '41.860465116279066'}
{'sk': '49.01960784313725', 'sl': '50.98039215686275'}
{'sk': '19.083969465648856', 'sl': '80.91603053435114'}
{'sk': '48.07692307692308', 'sl': '51.92307692307692'}
{'sk': '22.123893805309734', 'sl': '77.87610619469027'}
{'sk': '10.37344398340249', 'sl': '89.6265560165975'}
{'sk': '40.98360655737705', 'sl': '59.01639344262295'}
{'sk': '39.0625', 'sl': '60.9375'}
{'sk': '17.24137931034483', 'sl': '82.75862068965517'}
{'sk': '42.3728813559322', 'it': '57.6271186440678'}
{'sk': '34.72222222222222', 'it': '65.27777777777777'}
{'sk': '39.0625', 'it': '60.9375'}
{'sk': '46.2962962962963', 'it': '53.7037037037037'}
{'sk': '28.40909090909091', 'it': '71.5909090909091'}
{'sk': '28.735632183908045', 'it': '71.26436781609195'}
{'sk': '24.509803921568626', 'it': '75.49019607843138'}
{'sk': '24.03846153846154', 'it': '75.96153846153845'}
{'sk': '47.16981132075472', 'it': '52.83018867924528'}
{'sk': '22.123893805309734', 'it': '77.87610619469027'}
{'sk': '20.161290322580644', 'de': '79.83870967741936'}
{'sk': '40.98360655737705', 'de': '59.01639344262295'}
{'sk': '48.07692307692308', 'de': '51.92307692307692'}
{'sk': '40.98360655737705', 'de': '59.01639344262295'}
{'sk': '53.191489361702125', 'de': '46.808510638297875'}
{'sk': '37.878787878787875', 'de': '62.121212121212125'}
{'sk': '56.81818181818182', 'de': '43.18181818181818'}
{'sk': '28.40909090909091', 'de': '71.5909090909091'}
{'sk': '22.93577981651376', 'de': '77.06422018348624'}
{'sk': '13.020833333333334', 'de': '86.97916666666667'}
{'sk': '46.2962962962963', 'es': '53.7037037037037'}
{'sk': '25.773195876288657', 'es': '74.22680412371135'}
{'sk': '45.45454545454545', 'es': '54.54545454545455'}
{'sk': '25.0', 'es': '75.0'}
{'sk': '34.72222222222222', 'es': '65.27777777777777'}
{'sk': '35.2112676056338', 'es': '64.7887323943662'}
{'sk': '21.1864406779661', 'es': '78.8135593220339'}
{'sk': '48.07692307692308', 'es': '51.92307692307692'}
{'sk': '32.467532467532465', 'es': '67.53246753246754'}
{'sk': '58.139534883720934', 'es': '41.860465116279066'}
{'sk': '50.0', 'nl': '50.0'}
{'sk': '47.16981132075472', 'nl': '52.83018867924528'}
{'sk': '24.03846153846154', 'nl': '75.96153846153845'}
{'sk': '36.76470588235294', 'nl': '63.23529411764706'}
{'sk': '46.2962962962963', 'nl': '53.7037037037037'}
{'sk': '52.083333333333336', 'nl': '47.916666666666664'}
{'sk': '47.16981132075472', 'nl': '52.83018867924528'}
{'sk': '45.45454545454545', 'nl': '54.54545454545455'}
{'sk': '16.89189189189189', 'nl': '83.10810810810811'}
{'sk': '43.103448275862064', 'nl': '56.896551724137936'}
{'sk': '43.333333333333336', 'en': '56.666666666666664'}
{'sk': '35.13513513513514', 'en': '64.86486486486487'}
{'sk': '60.46511627906976', 'en': '39.53488372093024'}
{'sk': '27.083333333333332', 'en': '72.91666666666667'}
{'sk': '56.52173913043478', 'en': '43.47826086956522'}
{'sk': '53.608247422680414', 'en': '46.391752577319586'}
{'sk': '50.0', 'en': '50.0'}
{'sk': '50.98039215686274', 'en': '49.01960784313726'}
{'sk': '27.083333333333332', 'en': '72.91666666666667'}
{'sk': '27.513227513227513', 'en': '72.48677248677248'}
{'sk': '60.46511627906976', 'fr': '39.53488372093024'}
{'sk': '70.27027027027027', 'fr': '29.729729729729726'}
{'sk': '64.19753086419753', 'fr': '35.80246913580247'}
{'sk': '46.846846846846844', 'fr': '53.153153153153156'}
{'sk': '70.27027027027027', 'fr': '29.729729729729726'}
{'sk': '37.142857142857146', 'fr': '62.857142857142854'}
{'sk': '22.707423580786028', 'fr': '77.29257641921397'}
{'sk': '68.42105263157895', 'fr': '31.578947368421055'}
{'sk': '59.77011494252874', 'fr': '40.22988505747126'}
{'sk': '65.0', 'fr': '35.0'}
{'sk': '31.515151515151512', 'sl': '68.48484848484848'}
{'sk': '48.598130841121495', 'sl': '51.401869158878505'}
{'sk': '32.5', 'sl': '67.5'}
{'sk': '56.52173913043478', 'sl': '43.47826086956522'}
{'sk': '48.598130841121495', 'sl': '51.401869158878505'}
{'sk': '50.98039215686274', 'sl': '49.01960784313726'}
{'sk': '75.36231884057972', 'sl': '24.637681159420282'}
{'sk': '42.97520661157025', 'sl': '57.02479338842975'}
{'sk': '43.69747899159664', 'sl': '56.30252100840336'}
{'sk': '39.097744360902254', 'sl': '60.902255639097746'}
{'sk': '57.14285714285714', 'it': '42.85714285714286'}
{'sk': '44.827586206896555', 'it': '55.172413793103445'}
{'sk': '71.23287671232876', 'it': '28.76712328767124'}
{'sk': '28.57142857142857', 'it': '71.42857142857143'}
{'sk': '65.82278481012658', 'it': '34.17721518987342'}
{'sk': '24.761904761904763', 'it': '75.23809523809524'}
{'sk': '49.056603773584904', 'it': '50.943396226415096'}
{'sk': '64.19753086419753', 'it': '35.80246913580247'}
{'sk': '32.5', 'it': '67.5'}
{'sk': '32.5', 'it': '67.5'}
{'sk': '68.42105263157895', 'de': '31.578947368421055'}
{'sk': '49.523809523809526', 'de': '50.476190476190474'}
{'sk': '36.11111111111111', 'de': '63.88888888888889'}
{'sk': '33.98692810457516', 'de': '66.01307189542484'}
{'sk': '67.53246753246754', 'de': '32.467532467532465'}
{'sk': '40.94488188976378', 'de': '59.05511811023622'}
{'sk': '27.368421052631582', 'de': '72.63157894736841'}
{'sk': '70.27027027027027', 'de': '29.729729729729726'}
{'sk': '44.44444444444444', 'de': '55.55555555555556'}
{'sk': '44.827586206896555', 'de': '55.172413793103445'}
{'sk': '23.11111111111111', 'es': '76.88888888888889'}
{'sk': '50.48543689320388', 'es': '49.51456310679612'}
{'sk': '43.333333333333336', 'es': '56.666666666666664'}
{'sk': '40.310077519379846', 'es': '59.689922480620154'}
{'sk': '28.10810810810811', 'es': '71.89189189189189'}
{'sk': '49.523809523809526', 'es': '50.476190476190474'}
{'sk': '37.142857142857146', 'es': '62.857142857142854'}
{'sk': '28.415300546448087', 'es': '71.5846994535519'}
{'sk': '61.904761904761905', 'es': '38.095238095238095'}
{'sk': '19.923371647509576', 'es': '80.07662835249042'}
{'sk': '38.51851851851852', 'nl': '61.48148148148148'}
{'sk': '56.52173913043478', 'nl': '43.47826086956522'}
{'sk': '56.52173913043478', 'nl': '43.47826086956522'}
{'sk': '63.41463414634146', 'nl': '36.58536585365854'}
{'sk': '36.61971830985916', 'nl': '63.38028169014084'}
{'sk': '63.41463414634146', 'nl': '36.58536585365854'}
{'sk': '58.42696629213483', 'nl': '41.57303370786517'}
{'sk': '40.0', 'nl': '60.0'}
{'sk': '50.98039215686274', 'nl': '49.01960784313726'}
{'sk': '65.0', 'nl': '35.0'}
{'sk': '50.0', 'en': '50.0'}
{'sk': '32.5', 'en': '67.5'}
{'sk': '37.410071942446045', 'en': '62.589928057553955'}
{'sk': '34.899328859060404', 'en': '65.1006711409396'}
{'sk': '53.608247422680414', 'en': '46.391752577319586'}
{'sk': '47.706422018348626', 'en': '52.293577981651374'}
{'sk': '24.413145539906104', 'en': '75.58685446009389'}
{'sk': '36.61971830985916', 'en': '63.38028169014084'}
{'sk': '26.39593908629442', 'en': '73.60406091370558'}
{'sk': '41.269841269841265', 'en': '58.730158730158735'}
{'sk': '48.148148148148145', 'fr': '51.851851851851855'}
{'sk': '50.48543689320388', 'fr': '49.51456310679612'}
{'sk': '65.0', 'fr': '35.0'}
{'sk': '69.33333333333334', 'fr': '30.666666666666657'}
{'sk': '42.97520661157025', 'fr': '57.02479338842975'}
{'sk': '31.70731707317073', 'fr': '68.29268292682927'}
{'sk': '67.53246753246754', 'fr': '32.467532467532465'}
{'sk': '47.27272727272727', 'fr': '52.72727272727273'}
{'sk': '59.77011494252874', 'fr': '40.22988505747126'}
{'sk': '46.017699115044245', 'fr': '53.982300884955755'}
{'sk': '38.8235294117647'}
{'sk': '46.391752577319586'}
{'sk': '27.777777777777786'}
{'sk': '35.80246913580247'}
{'sk': '35.80246913580247'}
{'sk': '33.33333333333334'}
{'sk': '61.48148148148148'}
{'sk': '51.851851851851855'}
{'sk': '33.33333333333334'}
{'sk': '47.47474747474747'}
{'sk': '34.899328859060404', 'sl': '65.1006711409396'}
{'sk': '55.319148936170215', 'sl': '44.680851063829785'}
{'sk': '54.736842105263165', 'sl': '45.263157894736835'}
{'sk': '54.166666666666664', 'sl': '45.833333333333336'}
{'sk': '33.12101910828025', 'sl': '66.87898089171975'}
{'sk': '41.935483870967744', 'sl': '58.064516129032256'}
{'sk': '56.52173913043478', 'sl': '43.47826086956522'}
{'sk': '46.846846846846844', 'sl': '53.153153153153156'}
{'sk': '46.017699115044245', 'sl': '53.982300884955755'}
{'sk': '58.42696629213483', 'sl': '41.57303370786517'}
{'sk': '23.423423423423422', 'it': '76.57657657657657'}
{'sk': '49.523809523809526', 'it': '50.476190476190474'}
{'sk': '24.761904761904763', 'it': '75.23809523809524'}
{'sk': '65.0', 'it': '35.0'}
{'sk': '64.19753086419753', 'it': '35.80246913580247'}
{'sk': '59.77011494252874', 'it': '40.22988505747126'}
{'sk': '41.6', 'it': '58.4'}
{'sk': '37.68115942028986', 'it': '62.31884057971014'}
{'sk': '36.61971830985916', 'it': '63.38028169014084'}
{'sk': '70.27027027027027', 'it': '29.729729729729726'}
{'sk': '46.42857142857143', 'de': '53.57142857142857'}
{'sk': '57.14285714285714', 'de': '42.85714285714286'}
{'sk': '71.23287671232876', 'de': '28.76712328767124'}
{'sk': '61.1764705882353', 'de': '38.8235294117647'}
{'sk': '65.82278481012658', 'de': '34.17721518987342'}
{'sk': '38.23529411764706', 'de': '61.76470588235294'}
{'sk': '37.68115942028986', 'de': '62.31884057971014'}
{'sk': '36.61971830985916', 'de': '63.38028169014084'}
{'sk': '47.27272727272727', 'de': '52.72727272727273'}
{'sk': '57.14285714285714', 'de': '42.85714285714286'}
{'sk': '42.62295081967213', 'es': '57.37704918032787'}
{'sk': '66.66666666666666', 'es': '33.33333333333334'}
{'sk': '55.91397849462365', 'es': '44.08602150537635'}
{'sk': '47.706422018348626', 'es': '52.293577981651374'}
{'sk': '48.148148148148145', 'es': '51.851851851851855'}
{'sk': '50.0', 'es': '50.0'}
{'sk': '52.52525252525253', 'es': '47.47474747474747'}
{'sk': '32.91139240506329', 'es': '67.08860759493672'}
{'sk': '57.77777777777777', 'es': '42.22222222222223'}
{'sk': '57.14285714285714', 'es': '42.85714285714286'}
{'sk': '26.804123711340207', 'nl': '73.19587628865979'}
{'sk': '42.97520661157025', 'nl': '57.02479338842975'}
{'sk': '46.846846846846844', 'nl': '53.153153153153156'}
{'sk': '65.82278481012658', 'nl': '34.17721518987342'}
{'sk': '22.51082251082251', 'nl': '77.4891774891775'}
{'sk': '20.8', 'nl': '79.2'}
{'sk': '43.69747899159664', 'nl': '56.30252100840336'}
{'sk': '64.19753086419753', 'nl': '35.80246913580247'}
{'sk': '50.0', 'nl': '50.0'}
{'sk': '39.69465648854962', 'nl': '60.30534351145038'}
{'sk': '28.985507246376812', 'en': '71.01449275362319'}
{'sk': '57.14285714285714', 'en': '42.85714285714286'}
{'sk': '40.816326530612244', 'en': '59.183673469387756'}
{'sk': '54.054054054054056', 'en': '45.945945945945944'}
{'sk': '57.14285714285714', 'en': '42.85714285714286'}
{'sk': '52.63157894736842', 'en': '47.36842105263158'}
{'sk': '42.5531914893617', 'en': '57.4468085106383'}
{'sk': '50.0', 'en': '50.0'}
{'sk': '58.82352941176471', 'en': '41.17647058823529'}
{'sk': '48.78048780487805', 'en': '51.21951219512195'}
{'sk': '33.89830508474576', 'fr': '66.10169491525424'}
{'sk': '14.5985401459854', 'fr': '85.4014598540146'}
{'sk': '32.78688524590164', 'fr': '67.21311475409837'}
{'sk': '67.79661016949152', 'fr': '32.203389830508485'}
{'sk': '36.69724770642202', 'fr': '63.30275229357798'}
{'sk': '41.23711340206185', 'fr': '58.76288659793815'}
{'sk': '42.5531914893617', 'fr': '57.4468085106383'}
{'sk': '24.539877300613497', 'fr': '75.4601226993865'}
{'sk': '25.157232704402517', 'fr': '74.84276729559748'}
{'sk': '30.76923076923077', 'fr': '69.23076923076923'}
{'sk': '11.730205278592376', 'sl': '88.26979472140762'}
{'sk': '57.971014492753625', 'sl': '42.028985507246375'}
{'sk': '14.925373134328357', 'sl': '85.07462686567165'}
{'sk': '61.53846153846154', 'sl': '38.46153846153846'}
{'sk': '54.054054054054056', 'sl': '45.945945945945944'}
{'sk': '42.10526315789473', 'sl': '57.89473684210527'}
{'sk': '19.41747572815534', 'sl': '80.58252427184466'}
{'sk': '39.603960396039604', 'sl': '60.396039603960396'}
{'sk': '66.66666666666666', 'sl': '33.33333333333334'}
{'sk': '42.10526315789473', 'sl': '57.89473684210527'}
{'sk': '37.03703703703704', 'it': '62.96296296296296'}
{'sk': '55.55555555555556', 'it': '44.44444444444444'}
{'sk': '59.70149253731343', 'it': '40.29850746268657'}
{'sk': '16.736401673640167', 'it': '83.26359832635984'}
{'sk': '12.903225806451612', 'it': '87.09677419354838'}
{'sk': '20.2020202020202', 'it': '79.79797979797979'}
{'sk': '23.391812865497073', 'it': '76.60818713450293'}
{'sk': '13.468013468013467', 'it': '86.53198653198653'}
{'sk': '29.629629629629626', 'it': '70.37037037037038'}
{'sk': '25.97402597402597', 'it': '74.02597402597402'}
{'sk': '35.39823008849557', 'de': '64.60176991150442'}
{'sk': '57.971014492753625', 'de': '42.028985507246375'}
{'sk': '62.5', 'de': '37.5'}
{'sk': '23.391812865497073', 'de': '76.60818713450293'}
{'sk': '43.956043956043956', 'de': '56.043956043956044'}
{'sk': '51.28205128205128', 'de': '48.71794871794872'}
{'sk': '36.36363636363637', 'de': '63.63636363636363'}
{'sk': '51.94805194805194', 'de': '48.05194805194806'}
{'sk': '66.66666666666666', 'de': '33.33333333333334'}
{'sk': '48.19277108433735', 'de': '51.80722891566265'}
{'sk': '47.05882352941176', 'es': '52.94117647058824'}
{'sk': '61.53846153846154', 'es': '38.46153846153846'}
{'sk': '36.69724770642202', 'es': '63.30275229357798'}
{'sk': '34.18803418803419', 'es': '65.81196581196582'}
{'sk': '31.496062992125985', 'es': '68.50393700787401'}
{'sk': '53.333333333333336', 'es': '46.666666666666664'}
{'sk': '8.60215053763441', 'es': '91.39784946236558'}
{'sk': '42.5531914893617', 'es': '57.4468085106383'}
{'sk': '28.57142857142857', 'es': '71.42857142857143'}
{'sk': '57.14285714285714', 'es': '42.85714285714286'}
{'sk': '58.82352941176471', 'nl': '41.17647058823529'}
{'sk': '20.833333333333336', 'nl': '79.16666666666666'}
{'sk': '63.49206349206349', 'nl': '36.50793650793651'}
{'sk': '45.45454545454545', 'nl': '54.54545454545455'}
{'sk': '33.057851239669425', 'nl': '66.94214876033058'}
{'sk': '43.956043956043956', 'nl': '56.043956043956044'}
{'sk': '51.94805194805194', 'nl': '48.05194805194806'}
{'sk': '52.63157894736842', 'nl': '47.36842105263158'}
{'sk': '20.0', 'nl': '80.0'}
{'sk': '39.603960396039604', 'nl': '60.396039603960396'}
{'sk': '18.95734597156398', 'en': '81.04265402843602'}
{'sk': '20.833333333333336', 'en': '79.16666666666666'}
{'sk': '60.60606060606061', 'en': '39.39393939393939'}
{'sk': '46.51162790697674', 'en': '53.48837209302326'}
{'sk': '28.368794326241137', 'en': '71.63120567375887'}
{'sk': '36.69724770642202', 'en': '63.30275229357798'}
{'sk': '21.978021978021978', 'en': '78.02197802197801'}
{'sk': '35.39823008849557', 'en': '64.60176991150442'}
{'sk': '20.833333333333336', 'en': '79.16666666666666'}
{'sk': '68.96551724137932', 'en': '31.034482758620683'}
{'sk': '44.44444444444444', 'fr': '55.55555555555556'}
{'sk': '41.66666666666667', 'fr': '58.33333333333333'}
{'sk': '50.0', 'fr': '50.0'}
{'sk': '58.82352941176471', 'fr': '41.17647058823529'}
{'sk': '38.095238095238095', 'fr': '61.904761904761905'}
{'sk': '29.411764705882355', 'fr': '70.58823529411765'}
{'sk': '13.559322033898304', 'fr': '86.4406779661017'}
{'sk': '36.03603603603604', 'fr': '63.96396396396396'}
{'sk': '26.666666666666668', 'fr': '73.33333333333333'}
{'sk': '61.53846153846154', 'fr': '38.46153846153846'}
{'sk': '38.46153846153846'}
{'sk': '76.60818713450293'}
{'sk': '40.29850746268657'}
{'sk': '59.5959595959596'}
{'sk': '39.39393939393939'}
{'sk': '45.205479452054796'}
{'sk': '70.58823529411765'}
{'sk': '45.205479452054796'}
{'sk': '39.39393939393939'}
{'sk': '40.29850746268657'}
{'sk': '63.49206349206349', 'sl': '36.50793650793651'}
{'sk': '58.82352941176471', 'sl': '41.17647058823529'}
{'sk': '58.82352941176471', 'sl': '41.17647058823529'}
{'sk': '21.27659574468085', 'sl': '78.72340425531915'}
{'sk': '46.51162790697674', 'sl': '53.48837209302326'}
{'sk': '37.735849056603776', 'sl': '62.264150943396224'}
{'sk': '35.08771929824561', 'sl': '64.91228070175438'}
{'sk': '41.66666666666667', 'sl': '58.33333333333333'}
{'sk': '53.333333333333336', 'sl': '46.666666666666664'}
{'sk': '22.857142857142858', 'sl': '77.14285714285714'}
{'sk': '47.05882352941176', 'it': '52.94117647058824'}
{'sk': '43.956043956043956', 'it': '56.043956043956044'}
{'sk': '54.054054054054056', 'it': '45.945945945945944'}
{'sk': '44.44444444444444', 'it': '55.55555555555556'}
{'sk': '43.956043956043956', 'it': '56.043956043956044'}
{'sk': '30.075187969924812', 'it': '69.92481203007519'}
{'sk': '46.51162790697674', 'it': '53.48837209302326'}
{'sk': '27.397260273972602', 'it': '72.6027397260274'}
{'sk': '38.46153846153847', 'it': '61.53846153846153'}
{'sk': '59.70149253731343', 'it': '40.29850746268657'}
{'sk': '41.66666666666667', 'de': '58.33333333333333'}
{'sk': '34.18803418803419', 'de': '65.81196581196582'}
{'sk': '61.53846153846154', 'de': '38.46153846153846'}
{'sk': '35.714285714285715', 'de': '64.28571428571428'}
{'sk': '21.73913043478261', 'de': '78.26086956521739'}
{'sk': '44.44444444444444', 'de': '55.55555555555556'}
{'sk': '56.33802816901409', 'de': '43.66197183098591'}
{'sk': '44.44444444444444', 'de': '55.55555555555556'}
{'sk': '63.49206349206349', 'de': '36.50793650793651'}
{'sk': '67.79661016949152', 'de': '32.203389830508485'}
{'sk': '27.397260273972602', 'es': '72.6027397260274'}
{'sk': '44.44444444444444', 'es': '55.55555555555556'}
{'sk': '33.61344537815126', 'es': '66.38655462184875'}
{'sk': '60.60606060606061', 'es': '39.39393939393939'}
{'sk': '36.03603603603604', 'es': '63.96396396396396'}
{'sk': '47.61904761904761', 'es': '52.38095238095239'}
{'sk': '41.23711340206185', 'es': '58.76288659793815'}
{'sk': '37.38317757009346', 'es': '62.61682242990654'}
{'sk': '57.971014492753625', 'es': '42.028985507246375'}
{'sk': '21.85792349726776', 'es': '78.14207650273224'}
{'sk': '47.05882352941176', 'nl': '52.94117647058824'}
{'sk': '56.33802816901409', 'nl': '43.66197183098591'}
{'sk': '57.14285714285714', 'nl': '42.85714285714286'}
{'sk': '59.70149253731343', 'nl': '40.29850746268657'}
{'sk': '55.55555555555556', 'nl': '44.44444444444444'}
{'sk': '25.31645569620253', 'nl': '74.68354430379748'}
{'sk': '39.21568627450981', 'nl': '60.78431372549019'}
{'sk': '15.09433962264151', 'nl': '84.90566037735849'}
{'sk': '24.096385542168676', 'nl': '75.90361445783132'}
{'sk': '57.14285714285714', 'nl': '42.85714285714286'}
{'sl': '55.223880597014926', 'en': '44.776119402985074'}
{'sl': '61.66666666666667', 'en': '38.33333333333333'}
{'sl': '47.43589743589743', 'en': '52.56410256410257'}
{'sl': '33.63636363636363', 'en': '66.36363636363637'}
{'sl': '58.730158730158735', 'en': '41.269841269841265'}
{'sl': '52.112676056338024', 'en': '47.887323943661976'}
{'sl': '26.811594202898554', 'en': '73.18840579710144'}
{'sl': '58.730158730158735', 'en': '41.269841269841265'}
{'sl': '18.407960199004975', 'en': '81.59203980099502'}
{'sl': '40.65934065934066', 'en': '59.34065934065934'}
{'sl': '42.04545454545455', 'fr': '57.95454545454545'}
{'sl': '42.5287356321839', 'fr': '57.4712643678161'}
{'sl': '58.730158730158735', 'fr': '41.269841269841265'}
